,x,y,elevation,extensions,encountered,shot,hit,recovered,code
1,4.31203313,-77.18089687,305.5,0.00345.4973.15,NA,NA,NA,NA,1
2,4.31219813,-77.18120587,363,0.05345.8973.12,NA,NA,NA,NA,1
3,4.31219513,-77.18120387,363.7,0.05344.7973.26,NA,NA,NA,NA,1
4,4.31219313,-77.18120687,363.7,0.00345.4973.18,NA,NA,NA,NA,1
5,4.31219313,-77.18120887,363.8,0.00345.4973.19,NA,NA,NA,NA,1
6,4.31219313,-77.18120887,363.9,0.00345.4973.19,NA,NA,NA,NA,1
7,4.31219513,-77.18120887,363.9,0.00345.4973.19,NA,NA,NA,NA,1
8,4.31219513,-77.18120887,363.9,0.00345.5973.19,NA,NA,NA,NA,1
9,4.31219513,-77.18120887,363.9,0.15344.7973.28,NA,NA,NA,NA,1
10,4.31220813,-77.18121887,365.1,0.05345.5973.19,NA,NA,NA,NA,1
11,4.31220313,-77.18122087,365.1,0.05344.8973.27,NA,NA,NA,NA,1
12,4.31220313,-77.18121687,365.1,0.00344.10973.25,NA,NA,NA,NA,1
13,4.31220213,-77.18122087,364.8,0.00345.3973.22,NA,NA,NA,NA,1
14,4.31221213,-77.18122687,364.7,0.05345.7973.17,NA,NA,NA,NA,1
15,4.31218213,-77.18125687,365,0.31345.1973.24,NA,NA,NA,NA,1
16,4.31219013,-77.18131187,365.3,0.51344.4973.31,NA,NA,NA,NA,1
17,4.31218213,-77.18136687,365.2,0.21343.10973.36,NA,NA,NA,NA,1
18,4.31218513,-77.18139887,365,0.41343.3973.45,NA,NA,NA,NA,1
19,4.31218713,-77.18144687,364.4,0.41342.3973.56,NA,NA,NA,NA,1
20,4.31219213,-77.18148187,364.1,0.72341.1973.67,NA,NA,NA,NA,1
21,4.31218513,-77.18157887,364.1,0.82342.1973.56,NA,NA,NA,NA,1
22,4.31217213,-77.18168087,363.7,0.72342.4973.53,NA,NA,NA,NA,1
23,4.31217313,-77.18168687,363.4,0.67342.4973.54,NA,NA,NA,NA,1
24,4.31215713,-77.18174887,363.3,0.46341.8973.60,NA,NA,NA,NA,1
25,4.31211213,-77.18181087,362.7,0.77340.2973.77,NA,NA,NA,NA,1
26,4.31209213,-77.18187387,362,0.57338.3973.98,NA,NA,NA,NA,1
27,4.31212013,-77.18190887,361.4,0.46337.8974.04,NA,NA,NA,NA,1
28,4.31215513,-77.18196687,361.7,0.26337.0974.12,NA,NA,NA,NA,1
29,4.31214513,-77.18199187,362.1,0.15336.5974.18,NA,NA,NA,NA,1
30,4.31213713,-77.18199887,362.1,0.51334.6974.38,NA,NA,NA,NA,1
31,4.31211813,-77.18205887,361.2,0.62333.10974.44,NA,NA,NA,NA,1
32,4.31205313,-77.18214687,359.4,0.62333.3974.51,NA,NA,NA,NA,1
33,4.31200713,-77.18223187,358.7,0.72333.3974.52,NA,NA,NA,NA,1
34,4.31197813,-77.18234387,358.6,0.82333.9974.45,NA,NA,NA,NA,1
35,4.31187213,-77.18240387,357.9,0.98333.1974.54,NA,NA,NA,NA,1
36,4.31176013,-77.18241087,357.7,0.67334.3974.41,NA,NA,NA,NA,1
37,4.31174813,-77.18239687,357.2,0.15333.7974.47,NA,NA,NA,NA,1
38,4.31175313,-77.18239587,357.2,0.05333.7974.47,NA,NA,NA,NA,1
39,4.31167013,-77.18238387,357,0.77333.6974.48,NA,NA,NA,NA,1
40,4.31158213,-77.18239687,356.6,0.72333.5974.49,NA,NA,NA,NA,1
41,4.31146313,-77.18240087,356.2,0.87333.6974.47,NA,NA,NA,NA,1
42,4.31137813,-77.18238387,355.5,0.82333.1974.52,NA,NA,NA,NA,1
43,4.31130513,-77.18237887,355.7,0.67333.5974.48,NA,NA,NA,NA,1
44,4.31122513,-77.18239587,354.9,0.93334.1974.40,NA,NA,NA,NA,1
45,4.31112013,-77.18239087,354.6,0.77333.5974.47,NA,NA,NA,NA,1
46,4.31103013,-77.18239887,354.7,0.72333.9974.42,NA,NA,NA,NA,1
47,4.31094013,-77.18241387,354.7,0.82333.8974.44,NA,NA,NA,NA,1
48,4.31085513,-77.18241887,354.3,0.72333.7974.44,NA,NA,NA,NA,1
49,4.31078013,-77.18244887,354,0.82334.2974.38,NA,NA,NA,NA,1
50,4.31070213,-77.18249387,353.8,0.93334.8974.31,NA,NA,NA,NA,1
51,4.31061513,-77.18254387,354.9,1.08335.1974.27,NA,NA,NA,NA,1
52,4.31052713,-77.18258187,356.6,0.82336.3974.14,NA,NA,NA,NA,1
53,4.31043813,-77.18263387,358.2,0.87336.1974.16,NA,NA,NA,NA,1
54,4.31034813,-77.18267087,359.8,0.98336.5974.12,NA,NA,NA,NA,1
55,4.31027713,-77.18270587,361.2,0.82336.6974.11,NA,NA,NA,NA,1
56,4.31020813,-77.18272187,362.6,0.57336.4974.13,NA,NA,NA,NA,1
57,4.31010813,-77.18277087,363.7,0.87336.6974.10,NA,NA,NA,NA,1
58,4.31001713,-77.18281387,365,0.87336.7974.08,NA,NA,NA,NA,1
59,4.30991813,-77.18286887,365.4,0.93336.8974.07,NA,NA,NA,NA,1
60,4.30983813,-77.18289887,366.1,0.82337.3974.02,NA,NA,NA,NA,1
61,4.30975713,-77.18294887,366.9,0.93336.10974.05,NA,NA,NA,NA,1
62,4.30966213,-77.18297887,367.6,0.87337.5974.00,NA,NA,NA,NA,1
63,4.30958713,-77.18302087,368.7,0.77337.3974.02,NA,NA,NA,NA,1
64,4.30951713,-77.18307187,369.1,0.87337.9973.95,NA,NA,NA,NA,1
65,4.30943713,-77.18309687,369.7,0.62338.2973.92,NA,NA,NA,NA,1
66,4.30936513,-77.18312187,370.5,0.62338.1973.92,NA,NA,NA,NA,1
67,4.30927513,-77.18316087,370.7,0.72338.4973.88,NA,NA,NA,NA,1
68,4.30919013,-77.18319687,370.4,0.77339.1973.82,NA,NA,NA,NA,1
69,4.30910513,-77.18322687,370,0.77338.6973.87,NA,NA,NA,NA,1
70,4.30903813,-77.18326887,369.6,0.62338.9973.84,NA,NA,NA,NA,1
71,4.30896213,-77.18329887,369.6,0.67338.9973.84,NA,NA,NA,NA,1
72,4.30889813,-77.18336687,369.4,0.72338.7973.85,NA,NA,NA,NA,1
73,4.30882313,-77.18341387,369.4,0.67338.3973.89,NA,NA,NA,NA,1
74,4.30874513,-77.18342187,369.7,0.82338.9973.83,NA,NA,NA,NA,1
75,4.30869713,-77.18346687,369.2,0.05339.1973.81,NA,NA,NA,NA,1
76,4.30872213,-77.18351687,368.9,0.72338.10973.82,NA,NA,NA,NA,1
77,4.30871213,-77.18359187,368.6,0.72339.5973.76,NA,NA,NA,NA,1
78,4.30873013,-77.18367387,367.9,0.72338.8973.83,NA,NA,NA,NA,1
79,4.30875013,-77.18371687,367.4,0.46338.5973.86,NA,NA,NA,NA,1
80,4.30879213,-77.18378587,367,0.72339.1973.80,NA,NA,NA,NA,1
81,4.30884013,-77.18386087,366,0.87338.8973.83,NA,NA,NA,NA,1
82,4.30887713,-77.18392387,365.3,0.57339.3973.77,NA,NA,NA,NA,1
83,4.30885513,-77.18400087,365,0.51339.1973.79,NA,NA,NA,NA,1
84,4.30881713,-77.18407387,365,0.57339.6973.74,NA,NA,NA,NA,1
85,4.30877213,-77.18408187,364.6,0.31340.9973.60,NA,NA,NA,NA,1
86,4.30874013,-77.18405687,364.2,0.05341.7973.51,NA,NA,NA,NA,1
87,4.30873513,-77.18404887,364.1,0.15341.6973.52,NA,NA,NA,NA,1
88,4.30871313,-77.18403687,364.1,0.26341.3973.55,NA,NA,NA,NA,1
89,4.30868713,-77.18402687,364,0.15341.6973.52,NA,NA,NA,NA,1
90,4.30864513,-77.18402387,364.2,0.41343.3973.33,NA,NA,NA,NA,1
91,4.30858213,-77.18404687,364.6,0.31344.9973.16,NA,NA,NA,NA,1
92,4.30857813,-77.18409887,364.2,0.41345.5973.09,NA,NA,NA,NA,1
93,4.30858813,-77.18414687,364,0.36345.2973.13,NA,NA,NA,NA,1
94,4.30860213,-77.18420087,364,0.46344.2973.24,NA,NA,NA,NA,1
95,4.30862013,-77.18427387,363.8,0.36343.8973.28,NA,NA,NA,NA,1
96,4.30861813,-77.18428887,363.7,0.10344.4973.21,NA,NA,NA,NA,1
97,4.30857313,-77.18433387,363.9,0.46344.7973.19,NA,NA,NA,NA,1
98,4.30852213,-77.18436187,364.3,0.21344.6973.21,NA,NA,NA,NA,1
99,4.30851213,-77.18441387,364.5,0.62345.3973.13,NA,NA,NA,NA,1
100,4.30846313,-77.18444087,364.9,0.41346.7972.97,NA,NA,NA,NA,1
101,4.30842313,-77.18447187,365.2,0.26347.4972.90,NA,NA,NA,NA,1
102,4.30839813,-77.18451887,365.4,0.41346.2973.03,NA,NA,NA,NA,1
103,4.30834313,-77.18452587,365.4,0.41347.4972.90,NA,NA,NA,NA,1
104,4.30826013,-77.18455687,365.4,0.57348.3972.80,NA,NA,NA,NA,1
105,4.30818313,-77.18459187,365.4,0.51349.6972.66,NA,NA,NA,NA,1
106,4.30810013,-77.18461687,366,0.21349.9972.63,NA,NA,NA,NA,1
107,4.30809813,-77.18466687,366.6,0.87351.5972.45,NA,NA,NA,NA,1
108,4.30806313,-77.18470187,366.8,0.26351.9972.41,NA,NA,NA,NA,1
109,4.30804813,-77.18475687,367,0.67352.9972.30,NA,NA,NA,NA,1
110,4.30802713,-77.18480687,367,0.31353.7972.21,NA,NA,NA,NA,1
111,4.30800013,-77.18484887,367.3,0.36354.5972.12,NA,NA,NA,NA,1
112,4.30796813,-77.18489387,367.5,0.72356.4971.92,NA,NA,NA,NA,1
113,4.30789313,-77.18495387,368.4,0.62357.3971.82,NA,NA,NA,NA,1
114,4.30787813,-77.18498087,369,0.57357.4971.80,NA,NA,NA,NA,1
115,4.30780513,-77.18501087,369.7,0.62358.2971.72,NA,NA,NA,NA,1
116,4.30773813,-77.18505887,370.2,0.72359.3971.58,NA,NA,NA,NA,1
117,4.30772313,-77.18513587,370.7,0.72359.10971.51,NA,NA,NA,NA,1
118,4.30774013,-77.18522587,371.2,0.62361.4971.36,NA,NA,NA,NA,1
119,4.30773013,-77.18528587,371.9,0.21362.3971.26,NA,NA,NA,NA,1
120,4.30772513,-77.18529187,371.9,0.10362.4971.25,NA,NA,NA,NA,1
121,4.30772013,-77.18533087,372.2,0.46363.6971.11,NA,NA,NA,NA,1
122,4.30767713,-77.18538387,373.3,0.67365.8970.88,NA,NA,NA,NA,1
123,4.30761213,-77.18544587,373.9,0.51366.0970.85,NA,NA,NA,NA,1
124,4.30756213,-77.18549587,374.1,0.41367.2970.72,NA,NA,NA,NA,1
125,4.30753813,-77.18552887,374.4,0.26368.7970.56,NA,NA,NA,NA,1
126,4.30751513,-77.18557887,374.6,0.21370.8970.33,NA,NA,NA,NA,1
127,4.30744813,-77.18559687,374.9,0.15370.8970.33,NA,NA,NA,NA,1
128,4.30741713,-77.18562187,375.3,0.31372.7970.14,NA,NA,NA,NA,1
129,4.30737513,-77.18563887,375.6,0.36374.1969.98,NA,NA,NA,NA,1
130,4.30735813,-77.18564387,375.7,0.26374.4969.95,NA,NA,NA,NA,1
131,4.30735513,-77.18564887,375.7,0.05374.9969.90,NA,NA,NA,NA,1
132,4.30735013,-77.18563887,375.7,0.21375.5969.83,NA,NA,NA,NA,1
133,4.30736013,-77.18568387,376.2,0.31378.6969.49,NA,NA,NA,NA,1
134,4.30739813,-77.18572387,376.5,0.10379.5969.40,NA,NA,NA,NA,1
135,4.30739213,-77.18576187,376.5,0.36382.2969.10,NA,NA,NA,NA,1
136,4.30732713,-77.18579187,377.2,0.15382.4969.08,NA,NA,NA,NA,1
137,4.30731213,-77.18579087,377.3,0.15382.4969.08,NA,NA,NA,NA,1
138,4.30730813,-77.18579087,377.3,0.15382.4969.08,NA,NA,NA,NA,1
139,4.30727313,-77.18579687,378.2,0.51385.1968.78,NA,NA,NA,NA,1
140,4.30727213,-77.18589187,380,0.46385.3968.78,NA,NA,NA,NA,1
141,4.30724813,-77.18594187,381.2,0.67387.0968.59,NA,NA,NA,NA,1
142,4.30723013,-77.18596687,381.8,0.31389.2968.35,NA,NA,NA,NA,1
143,4.30722313,-77.18599187,383.2,0.15390.10968.16,NA,NA,NA,NA,1
144,4.30722313,-77.18597887,383.8,0.15391.1968.15,NA,NA,NA,NA,1
145,4.30721513,-77.18597387,383.8,0.10390.6968.21,NA,NA,NA,NA,1
146,4.30721013,-77.18597387,383.8,0.21391.5968.12,NA,NA,NA,NA,1
147,4.30716713,-77.18601587,384.7,0.36393.10967.85,NA,NA,NA,NA,1
148,4.30715813,-77.18604587,384.9,0.15394.7967.77,NA,NA,NA,NA,1
149,4.30714213,-77.18609387,385.4,0.41396.10967.52,NA,NA,NA,NA,1
150,4.30709713,-77.18616387,386.2,0.62398.10967.29,NA,NA,NA,NA,1
151,4.30707013,-77.18622387,386.9,0.51400.6967.11,NA,NA,NA,NA,1
152,4.30707513,-77.18627087,387.4,0.41403.5966.80,NA,NA,NA,NA,1
153,4.30710513,-77.18632587,387.8,0.41404.10966.64,NA,NA,NA,NA,1
154,4.30707313,-77.18640887,388.8,0.36407.7966.34,NA,NA,NA,NA,1
155,4.30706813,-77.18642887,389.8,0.00407.2966.40,NA,NA,NA,NA,1
156,4.30705513,-77.18642087,390,0.31409.0966.20,NA,NA,NA,NA,1
157,4.30699513,-77.18639587,390.7,0.62411.5965.92,NA,NA,NA,NA,1
158,4.30691313,-77.18635687,391.6,0.46412.4965.82,NA,NA,NA,NA,1
159,4.30688313,-77.18630687,392.5,0.36414.9965.55,NA,NA,NA,NA,1
160,4.30685513,-77.18628687,393.5,0.21417.7965.24,NA,NA,NA,NA,1
161,4.30684813,-77.18629387,394.7,0.05419.10965.00,NA,NA,NA,NA,1
162,4.30684013,-77.18630087,394.9,0.26422.7964.69,NA,NA,NA,NA,1
163,4.30684013,-77.18639087,397.3,0.41424.2964.52,NA,NA,NA,NA,1
164,4.30684713,-77.18642387,399.5,0.05424.10964.44,NA,NA,NA,NA,1
165,4.30684013,-77.18642587,399.6,0.10424.4964.50,NA,NA,NA,NA,1
166,4.30683713,-77.18643587,399.6,0.05424.6964.48,NA,NA,NA,NA,1
167,4.30683513,-77.18645387,399.7,0.15424.4964.50,NA,NA,NA,NA,1
168,4.30683013,-77.18646387,399.7,0.10424.4964.50,NA,NA,NA,NA,1
169,4.30682813,-77.18647587,399.8,0.05424.8964.46,NA,NA,NA,NA,1
170,4.30683213,-77.18647887,399.8,0.15424.7964.47,NA,NA,NA,NA,1
171,4.30683313,-77.18647587,399.9,0.05424.7964.47,NA,NA,NA,NA,1
172,4.30681513,-77.18648087,400.8,0.77424.10964.44,NA,NA,NA,NA,1
173,4.30678713,-77.18653387,402.7,0.51426.4964.29,NA,NA,NA,NA,1
174,4.30674013,-77.18655187,404.6,0.15426.5964.29,NA,NA,NA,NA,1
175,4.30673713,-77.18654887,404.6,0.00425.9964.36,NA,NA,NA,NA,1
176,4.30672213,-77.18657187,405.7,0.05426.1964.33,NA,NA,NA,NA,1
177,4.30672013,-77.18657387,405.8,0.00426.2964.32,NA,NA,NA,NA,1
178,4.30671813,-77.18657387,405.9,0.00426.7964.27,NA,NA,NA,NA,1
179,4.30672013,-77.18660187,408.1,0.05426.2964.32,NA,NA,NA,NA,1
180,4.30673213,-77.18662887,411.5,0.05426.4964.30,NA,NA,NA,NA,1
181,4.30673813,-77.18666587,415.1,0.00426.3964.31,NA,NA,NA,NA,1
182,4.30672013,-77.18667687,417.5,0.57426.1964.34,NA,NA,NA,NA,1
183,4.30668213,-77.18668187,419,0.36426.8964.26,NA,NA,NA,NA,1
184,4.30666313,-77.18667587,420.1,0.10427.1964.24,NA,NA,NA,NA,1
185,4.30666313,-77.18666187,420.1,0.15427.0964.25,NA,NA,NA,NA,1
186,4.30662813,-77.18666387,420.5,0.87426.8964.27,NA,NA,NA,NA,1
187,4.30660813,-77.18662587,421.8,0.46426.9964.28,NA,NA,NA,NA,1
188,4.30661313,-77.18660587,422.2,0.26427.3964.23,NA,NA,NA,NA,1
189,4.30667013,-77.18654587,422.6,0.77425.5964.43,NA,NA,NA,NA,1
190,4.30678213,-77.18654887,423.8,0.26424.3964.58,NA,NA,NA,NA,1
191,4.30679713,-77.18654887,424,0.21425.9964.40,NA,NA,NA,NA,1
192,4.30680213,-77.18653587,424,0.00425.3964.48,NA,NA,NA,NA,1
193,4.30680213,-77.18653587,424.1,0.10425.5964.46,NA,NA,NA,NA,1
194,4.30679013,-77.18653587,424.2,0.05425.1964.50,NA,NA,NA,NA,1
195,4.30678513,-77.18653187,424.3,0.10425.3964.50,NA,NA,NA,NA,1
196,4.30677813,-77.18652687,424.4,0.00425.1964.52,NA,NA,NA,NA,1
197,4.30679013,-77.18653387,424.4,0.15425.3964.51,NA,NA,NA,NA,1
198,4.30679013,-77.18653687,424.5,0.00425.4964.50,NA,NA,NA,NA,1
199,4.30678513,-77.18653687,424.5,0.05425.9964.45,NA,NA,NA,NA,1
200,4.30678513,-77.18653887,424.6,0.00425.6964.50,NA,NA,NA,NA,1
201,4.30678813,-77.18654587,424.7,0.10425.8964.47,NA,NA,NA,NA,1
202,4.30678513,-77.18655087,424.7,0.05425.6964.50,NA,NA,NA,NA,1
203,4.30678513,-77.18655087,424.8,0.00425.9964.48,NA,NA,NA,NA,1
204,4.30678713,-77.18654687,424.9,0.00425.10964.47,NA,NA,NA,NA,1
205,4.30679013,-77.18654387,425,0.15426.7964.39,NA,NA,NA,NA,1
206,4.30678713,-77.18654087,425.5,0.15426.4964.42,NA,NA,NA,NA,1
207,4.30678313,-77.18655887,426.1,0.77426.10964.36,NA,NA,NA,NA,1
208,4.30676813,-77.18661087,426.6,0.62427.4964.32,NA,NA,NA,NA,1
209,4.30670313,-77.18664887,426.9,0.67428.3964.22,NA,NA,NA,NA,1
210,4.30663513,-77.18668687,427.2,0.77428.2964.23,NA,NA,NA,NA,1
211,4.30655213,-77.18662687,428.5,0.21428.6964.19,NA,NA,NA,NA,1
212,4.30654713,-77.18661687,428.5,0.10428.9964.15,NA,NA,NA,NA,1
213,4.30651013,-77.18667387,428.9,0.51427.9964.26,NA,NA,NA,NA,1
214,4.30644213,-77.18670087,429.6,0.67427.1964.35,NA,NA,NA,NA,1
215,4.30639813,-77.18672087,430.2,0.10427.8964.27,NA,NA,NA,NA,1
216,4.30634013,-77.18673587,430.6,0.72427.7964.28,NA,NA,NA,NA,1
217,4.30624513,-77.18676087,431,0.82428.5964.21,NA,NA,NA,NA,1
218,4.30618013,-77.18680587,431.8,0.82429.7964.08,NA,NA,NA,NA,1
219,4.30611013,-77.18685587,432.3,0.77431.1963.95,NA,NA,NA,NA,1
220,4.30604313,-77.18690387,432.8,0.82432.5963.80,NA,NA,NA,NA,1
221,4.30597313,-77.18691887,433.4,0.72434.7963.58,NA,NA,NA,NA,1
222,4.30589213,-77.18692887,434,0.82435.4963.50,NA,NA,NA,NA,1
223,4.30584013,-77.18701387,434.6,0.87436.5963.40,NA,NA,NA,NA,1
224,4.30577513,-77.18707087,435.1,0.77435.9963.46,NA,NA,NA,NA,1
225,4.30567313,-77.18708687,435.7,0.67436.1963.46,NA,NA,NA,NA,1
226,4.30562313,-77.18711687,436.4,0.62436.2963.44,NA,NA,NA,NA,1
227,4.30558213,-77.18717587,437.2,0.82436.3963.45,NA,NA,NA,NA,1
228,4.30551213,-77.18720587,438.1,0.82436.4963.44,NA,NA,NA,NA,1
229,4.30549013,-77.18721887,439,0.21436.5963.43,NA,NA,NA,NA,1
230,4.30549213,-77.18721587,439.2,0.26436.8963.41,NA,NA,NA,NA,1
231,4.30547713,-77.18723187,439.3,0.57436.3963.47,NA,NA,NA,NA,1
232,4.30539513,-77.18724387,439.8,0.67435.10963.50,NA,NA,NA,NA,1
233,4.30530213,-77.18728187,440.5,1.03436.5963.46,NA,NA,NA,NA,1
234,4.30523713,-77.18730687,441.4,0.57436.5963.46,NA,NA,NA,NA,1
235,4.30522713,-77.18730387,441.7,0.05436.9963.43,NA,NA,NA,NA,1
236,4.30522013,-77.18731887,441.8,0.21437.0963.42,NA,NA,NA,NA,1
237,4.30511213,-77.18734587,442,0.62437.2963.40,NA,NA,NA,NA,1
238,4.30505213,-77.18740687,442.4,0.77437.1963.42,NA,NA,NA,NA,1
239,4.30501313,-77.18747587,443.1,0.67436.1963.53,NA,NA,NA,NA,1
240,4.30500013,-77.18755187,443.8,0.46436.9963.45,NA,NA,NA,NA,1
241,4.30496513,-77.18762187,444.1,0.77437.1963.44,NA,NA,NA,NA,1
242,4.30493313,-77.18762887,444.5,0.31437.3963.42,NA,NA,NA,NA,1
243,4.30493013,-77.18761887,444.7,0.05437.4963.42,NA,NA,NA,NA,1
244,4.30492313,-77.18761387,444.7,0.10436.9963.48,NA,NA,NA,NA,1
245,4.30489713,-77.18766587,445,0.87438.6963.29,NA,NA,NA,NA,1
246,4.30487013,-77.18773687,445.2,0.67439.2963.25,NA,NA,NA,NA,1
247,4.30483013,-77.18778387,445.3,0.62438.10963.27,NA,NA,NA,NA,1
248,4.30481313,-77.18789687,445.8,0.98440.3963.14,NA,NA,NA,NA,1
